I, [2015-12-22T16:54:06.455661 #20359]  INFO -- : Refreshing Gem list
I, [2015-12-22T16:54:09.889417 #20359]  INFO -- : unlinking existing socket=/var/tmp/unicorn.todo.sock
I, [2015-12-22T16:54:09.889601 #20359]  INFO -- : listening on addr=/var/tmp/unicorn.todo.sock fd=11
I, [2015-12-22T16:54:09.889712 #20359]  INFO -- : worker=0 spawning...
I, [2015-12-22T16:54:09.891135 #20359]  INFO -- : worker=1 spawning...
I, [2015-12-22T16:54:09.891663 #20372]  INFO -- : worker=0 spawned pid=20372
I, [2015-12-22T16:54:09.895803 #20359]  INFO -- : master process ready
I, [2015-12-22T16:54:09.896239 #20375]  INFO -- : worker=1 spawned pid=20375
I, [2015-12-22T16:54:09.897548 #20372]  INFO -- : worker=0 ready
I, [2015-12-22T16:54:09.901089 #20375]  INFO -- : worker=1 ready
192.168.1.6 - - [22/Dec/2015:16:54:26 +0530] "GET / HTTP/1.0" 200 - 1.1726
192.168.1.6 - - [22/Dec/2015:16:54:26 +0530] "GET /toastr/toastr.min.css?body=1 HTTP/1.0" 200 6883 0.0109
192.168.1.6 - - [22/Dec/2015:16:54:26 +0530] "GET /application.css?body=1 HTTP/1.0" 200 514 0.0212
192.168.1.6 - - [22/Dec/2015:16:54:26 +0530] "GET /dashboards.css?body=1 HTTP/1.0" 200 - 0.0072
192.168.1.6 - - [22/Dec/2015:16:54:26 +0530] "GET /animate/animate.css?body=1 HTTP/1.0" 200 68412 0.0061
192.168.1.6 - - [22/Dec/2015:16:54:26 +0530] "GET /font-awesome.css?body=1 HTTP/1.0" 200 28746 0.0071
192.168.1.6 - - [22/Dec/2015:16:54:26 +0530] "GET /style.css?body=1 HTTP/1.0" 200 672388 0.0323
192.168.1.6 - - [22/Dec/2015:16:54:26 +0530] "GET /jquery/jquery-2.1.1.js?body=1 HTTP/1.0" 200 84249 0.0366
192.168.1.6 - - [22/Dec/2015:16:54:26 +0530] "GET /bootstrap/affix.js?body=1 HTTP/1.0" 200 4839 0.0065
192.168.1.6 - - [22/Dec/2015:16:54:26 +0530] "GET /bootstrap/alert.js?body=1 HTTP/1.0" 200 2261 0.0045
192.168.1.6 - - [22/Dec/2015:16:54:26 +0530] "GET /bootstrap/button.js?body=1 HTTP/1.0" 200 3547 0.0052
